product_id,brand,Oct_total,Oct_percentage,Nov_total,Nov_percentage,Dec_total,Dec_percentage,total_sales_product
1005115,apple,3761462.62,0.05461072715103839890356,6195131.03,0.07516830985838548089989,"","",9956593.65
1005115,apple,"","","","",7292783.27,0.07058674929757157377136,7292783.27
1005105,apple,2946326.88,0.04277619362370541238834,3346744.03,0.04060754987190993337541,"","",6293070.91
1004249,apple,1984613.28,0.02881357208181092392209,2015739.88,0.02445787815625019415682,"","",4000353.16
1005105,apple,"","","","",3918880.53,0.03793079092809025939145,3918880.53
1005135,apple,1646975.35,0.02391158188974265810831,2127517.07,0.02581412105286244336939,"","",3774492.42
1004767,samsung,1621748.35,0.02354532414561033819344,1669771.86,0.02026009263686109009384,"","",3291520.21
1002544,apple,1433438.91,0.02081135694010748614087,1680917.50,0.02039532769759394040996,"","",3114356.41
1002544,apple,"","","","",2625201.52,0.02540928952463492416577,2625201.52
1004249,apple,"","","","",2582430.10,0.02499530553678481782443,2582430.10
1004767,samsung,"","","","",2460281.78,0.02381303362196901557471,2460281.78
1005135,apple,"","","","",2435511.75,0.02357328484115774558183,2435511.75
1004856,samsung,1140413.15,0.01655706773289859950086,1220149.14,0.01480461804356098765107,"","",2360562.29
1005116,apple,"","","","",2221933.38,0.02150606272575625748803,2221933.38
1005116,apple,575129.23,0.00835000334420890990050,1574536.75,0.01910456223351505695819,"","",2149665.98
1002524,apple,1049228.90,0.01523321084522279611274,1026294.97,0.01245249825023675590702,"","",2075523.87
1004870,samsung,916887.10,0.01331180881079893851591,896668.96,0.01087968759648272627788,"","",1813556.06
4804056,apple,602464.69,0.00874687272679182763997,885642.24,0.01074589544557132637227,"","",1488106.93
1003317,apple,846343.34,0.01228762050461065674441,602850.77,0.00731465940886262063758,"","",1449194.11
1004873,samsung,680644.15,0.00988191980559957090278,678282.10,0.00822990164651875112874,"","",1358926.25
1004833,samsung,664063.56,0.00964119480897758246563,692428.23,0.00840154300131621416361,"","",1356491.79
1005124,apple,"","","","",1326062.70,0.01283494269503512402650,1326062.70
1004856,samsung,"","","","",1299298.45,0.01257589188618152019670,1299298.45
1003306,apple,763796.03,0.01108915887442112596586,524927.35,0.00636917952289722042607,"","",1288723.38
1004258,apple,731629.95,0.01062215622256479215974,532938.41,0.00646638131531421109477,"","",1264568.36
1005129,apple,456158.98,0.00662273591709279886052,797673.58,0.00967853214676681980701,"","",1253832.56
1005106,apple,545505.21,0.00791990754457634448389,686747.92,0.00833262124645678778519,"","",1232253.13
1005132,apple,565382.05,0.00820848908732336401748,655115.24,0.00794880771928896075788,"","",1220497.29
1005132,apple,"","","","",1210983.75,0.01172109511553921309974,1210983.75
1005174,samsung,"","","","",1193952.12,0.01155624620224646979952,1193952.12
1002633,apple,571848.25,0.00830236849530324299345,536736.51,0.00651246537008086772473,62305.37,0.00060305282211991979347,1170890.13
1005124,apple,539752.01,0.00783637981422624090689,616506.17,0.00748034651595843247449,"","",1156258.18
4804056,apple,"","","","",1140968.89,0.01104342224539445530920,1140968.89
1005144,apple,536491.93,0.00778904840159331215959,593234.98,0.00719798670593624451357,"","",1129726.91
1004836,samsung,543365.98,0.00788884917243616996053,551427.87,0.00669072224558089893592,"","",1094793.85
1004870,samsung,"","","","",1094472.25,0.01059338190423134292343,1094472.25
1004237,apple,694913.52,0.01008908939637094291730,393177.68,0.00477060154765461545433,"","",1088091.20
1004659,samsung,551269.89,0.00800360194709922480852,533059.59,0.00646785164673166283503,"","",1084329.48
1005177,samsung,"","","","",1054654.72,0.01020798857719798175364,1054654.72
1002524,apple,"","","","",1035214.63,0.01001982821258149313455,1035214.63
1004873,samsung,"","","","",1018823.61,0.00986117975469697936097,1018823.61
1004246,apple,488494.93,0.00709220482347784227098,509779.41,0.00618538275699794746758,"","",998274.34
1005118,apple,"","","","",979906.81,0.00948450458098600558066,979906.81
1005100,samsung,"","","","",961386.58,0.00930524752869966169427,961386.58
1005104,apple,519255.82,0.00753880624968398800012,438343.52,0.00531861898904427098311,"","",957599.34
1005118,apple,387753.87,0.00562959756232516108118,511411.64,0.00620518733737018094027,"","",899165.51
1005106,apple,"","","","",889879.77,0.00861313409495722661598,889879.77
1004250,apple,410706.97,0.00596284173035320849912,434840.19,0.00527611151120385836415,"","",845547.16
1005121,apple,374298.26,0.00543424253142476526895,412722.70,0.00500775006193686161857,"","",787020.96
1005174,unknown,31518.27,0.00045759743406482636706,"","","","",773367.00
1005174,samsung,84263.13,0.00122337273188759702214,657585.60,0.00797878170773933275177,"","",773367.00
1005129,apple,"","","","",754016.64,0.00729811672216021829230,754016.64
1004227,apple,443999.43,0.00644619770990747557143,300170.55,0.00364210422725505967417,"","",744169.98
1005186,unknown,3087.76,0.00004482958782344361740,"","","","",735242.04
1005186,samsung,212282.46,0.00308201906364052153437,519871.82,0.00630783850465270985870,"","",735242.04
1003316,apple,488472.29,0.00709187612504651251708,232295.24,0.00281854257712899759231,"","",720767.53
1004258,apple,"","","","",714812.03,0.00691865583940467364417,714812.03
1801690,samsung,300852.37,0.00436791970321726878166,369304.67,0.00448093958501936588576,"","",670157.04
1005130,apple,213372.87,0.00309785016154274228923,424519.40,0.00515088472633901486964,"","",637892.27
1005104,apple,"","","","",628449.28,0.00608275196605415661691,628449.28
1005100,samsung,206500.19,0.00299806928102015488501,420507.76,0.00510220969475371948244,"","",627007.95
1005112,apple,372725.52,0.00541140873412398971779,245147.50,0.00297448482554670916739,"","",617873.02
1005212,samsung,"","","","",614371.04,0.00594648887408501271335,614371.04
1004227,apple,"","","","",610635.29,0.00591033060104635664740,610635.29
1003310,apple,358600.41,0.00520633357955860844660,250125.21,0.00303488161874660763483,"","",608725.62
1005160,xiaomi,"","","","",607526.81,0.00588024366573880084177,607526.81
1005160,xiaomi,167687.95,0.00243457447517236512767,433833.08,0.00526389179281939045727,"","",601521.03
1005144,apple,"","","","",588998.20,0.00570090550354733376407,588998.20
1005119,apple,"","","","",582626.76,0.00563923642312990358481,582626.76
1005119,apple,165711.11,0.00240587375931592023492,416673.88,0.00505569150516187368760,"","",582384.99
1004785,huawei,295125.74,0.00428477772893255529461,279972.56,0.00339703293441485458764,"","",575098.30
1005112,apple,"","","","",559099.95,0.00541152075165601377101,559099.95
1005186,samsung,"","","","",538901.50,0.00521602023099546566429,538901.50
4100346,sony,"","","","",534083.93,0.00516939103700688551349,534083.93
1005177,unknown,9907.04,0.00014383518140994405513,"","","","",528312.46
1005177,samsung,81958.24,0.00118990922802771900153,436447.18,0.00529560984330924514621,"","",528312.46
1004750,samsung,274546.97,0.00398600522815093793772,252406.71,0.00306256408391343502241,"","",526953.68
1005141,apple,249388.48,0.00362074214521695731320,270415.88,0.00328107743969185833257,"","",519804.36
1005130,apple,"","","","",518398.95,0.00501757633060365735988,518398.95
1003306,apple,"","","","",515891.72,0.00499330888580389569503,515891.72
1003312,apple,292809.84,0.00425115437658641664682,186661.80,0.00226485153472596994560,"","",479471.64
1004238,apple,322872.75,0.00468762219276166386844,155222.12,0.00188337976332285809959,"","",478094.87
1801690,samsung,"","","","",462054.79,0.00447222197835478538804,462054.79
1004741,xiaomi,302773.07,0.00439580535149708591455,155928.72,0.00189195325878061844740,"","",458701.79
1004838,oppo,216581.91,0.00314444055085698417003,241765.16,0.00293344537376833224629,"","",458347.07
1004785,huawei,"","","","",453721.51,0.00439156427547114173134,453721.51
1005073,samsung,229146.89,0.00332686498617896922728,223721.57,0.00271451438465611879882,"","",452868.46
1004836,samsung,"","","","",452752.03,0.00438218069184121031219,452752.03
1002532,apple,185139.25,0.00268794085921233636883,266119.48,0.00322894728701039561564,"","",451258.73
1002547,apple,"","","","",444678.95,0.00430404146119062783934,444678.95
1003304,apple,288561.23,0.00418947100899225104186,154447.86,0.00187398531866799604652,"","",443009.09
4100346,sony,134241.63,0.00194898468198539504834,306666.99,0.00372092845430234615846,"","",440908.62
1004665,samsung,318327.19,0.00462162756195268507173,120323.17,0.00145993511386686394949,"","",438650.36
4804718,apple,"","","","",434501.75,0.00420553648190427021447,434501.75
1005014,samsung,226192.28,0.00328396853422706080633,206878.21,0.00251014632570703541340,"","",433070.49
1004246,apple,"","","","",428969.58,0.00415199068431174878638,428969.58
1801881,samsung,183818.60,0.00266876702602613316177,243783.48,0.00295793455768045631087,"","",427602.08
4804055,apple,191746.39,0.00278386650203813476753,230074.03,0.00279159163763602864180,"","",421820.42
1002547,apple,212608.01,0.00308674555543908167970,203863.63,0.00247356907133814893205,"","",416471.64
1005143,apple,180965.15,0.00262733926370820521744,229375.98,0.00278312188317199013261,"","",410341.13
